Device ID,Device Name,Last Firmware Update,Operating Time (hrs),Connection Quality,Device Temperature (°C),Device Usage Frequency,Connectivity Type,Event Logs,Device Priority,Protocol,Label,Attack Type
ID1527,Smart Plug,2015-05-31,56,Good,16.8,Occasionally,Bluetooth,86,Low,CoAP,normal,
ID1352,Smart Camera,2016-11-25,52,Good,23.9,Occasionally,Bluetooth,39,High,Zigbee,normal,
ID2183,Smart Camera,2018-01-30,91,Poor,14.5,Weekly,Zigbee,11,High,CoAP,compromised,Jamming
ID9355,Smart Camera,2011-07-22,33,Excellent,10.2,Daily,Zigbee,53,High,MQTT,normal,
ID4526,Smart Light,2020-11-14,19,Good,20.0,Weekly,Bluetooth,21,Low,MQTT,normal,
ID4481,Smart Plug,2019-01-17,28,Excellent,10.6,Daily,WiFi,63,Low,CoAP,normal,
ID8096,Smart Camera,2011-11-05,19,Poor,23.7,Daily,Zigbee,37,High,MQTT,compromised,MITM
ID7861,Smart Camera,2015-04-29,60,Poor,10.1,Occasionally,Bluetooth,59,High,Zigbee,compromised,Jamming
ID7816,Smart Lock,2023-11-10,79,Good,20.1,Weekly,Zigbee,76,Low,Zigbee,normal,
ID5245,Smart Thermostat,2019-12-18,83,Poor,11.9,Occasionally,WiFi,98,High,Zigbee,compromised,MITM
ID6048,Smart Light,2018-05-15,93,Excellent,6.2,Weekly,WiFi,43,Low,CoAP,normal,
ID8706,Smart Camera,2013-05-09,38,Poor,13.1,Weekly,Bluetooth,51,High,HTTP,compromised,DDoS
ID8202,Smart Camera,2023-03-30,40,Excellent,19.4,Occasionally,WiFi,46,High,MQTT,normal,
ID2137,Smart Plug,2016-02-19,34,Poor,29.4,Occasionally,Zigbee,78,Low,Zigbee,compromised,DDoS
ID8001,Smart Lock,2021-04-28,62,Poor,37.7,Weekly,Zigbee,67,Low,HTTP,compromised,Jamming
ID6878,Smart Plug,2015-02-05,68,Good,13.4,Occasionally,WiFi,37,Low,MQTT,normal,
ID3016,Smart Plug,2010-10-10,54,Poor,20.6,Occasionally,Bluetooth,52,Low,MQTT,compromised,DDoS
ID9556,Smart Lock,2013-06-20,44,Excellent,26.6,Weekly,Zigbee,2,Low,HTTP,normal,
ID7848,Smart Thermostat,2016-05-01,142,Poor,37.6,Daily,Zigbee,45,High,CoAP,compromised,Replay
ID1310,Smart Lock,2016-09-06,89,Good,13.3,Daily,Zigbee,83,Low,CoAP,normal,
ID9478,Smart Lock,2011-06-02,64,Excellent,14.8,Daily,Zigbee,57,Low,HTTP,normal,
ID3615,Smart Plug,2017-10-23,78,Poor,14.3,Occasionally,Bluetooth,69,Low,Zigbee,compromised,DDoS
ID7246,Smart Light,2016-08-13,75,Poor,6.5,Weekly,Bluetooth,34,Low,CoAP,normal,
ID2291,Smart Plug,2018-12-22,99,Poor,17.8,Daily,Bluetooth,68,Low,MQTT,compromised,Replay
ID6156,Smart Camera,2020-08-21,15,Poor,10.8,Occasionally,Bluetooth,39,High,CoAP,compromised,Replay
ID7024,Smart Light,2016-12-26,48,Poor,15.6,Weekly,Zigbee,54,Low,HTTP,compromised,MITM
ID2483,Smart Camera,2013-05-25,22,Good,17.5,Daily,Zigbee,92,High,CoAP,normal,
ID1052,Smart Lock,2015-08-11,100,Good,17.8,Weekly,Zigbee,89,Low,HTTP,normal,
ID7753,Smart Thermostat,2014-05-03,98,Excellent,8.9,Daily,Bluetooth,29,High,HTTP,normal,
ID3343,Smart Plug,2016-03-27,47,Poor,23.5,Daily,Bluetooth,66,Low,Zigbee,compromised,Jamming
ID7592,Smart Camera,2017-02-03,37,Poor,32.0,Daily,Zigbee,76,High,Zigbee,compromised,Jamming
ID4350,Smart Plug,2010-03-02,86,Poor,15.7,Weekly,WiFi,44,Low,HTTP,compromised,MITM
ID2388,Smart Thermostat,2024-01-28,133,Excellent,17.9,Daily,Zigbee,2,High,MQTT,normal,
ID6277,Smart Light,2020-08-27,77,Excellent,21.2,Weekly,Zigbee,58,Low,HTTP,normal,
ID6886,Smart Thermostat,2014-10-23,159,Poor,38.2,Weekly,Bluetooth,44,High,HTTP,compromised,DDoS
ID5385,Smart Camera,2021-12-17,27,Good,17.3,Occasionally,WiFi,95,High,Zigbee,normal,
ID3471,Smart Thermostat,2016-03-28,170,Poor,8.3,Daily,Zigbee,52,High,CoAP,compromised,MITM
ID3959,Smart Light,2024-10-21,12,Poor,21.0,Occasionally,Bluetooth,1,Low,HTTP,normal,
ID4561,Smart Light,2019-07-07,65,Excellent,13.6,Weekly,Zigbee,90,Low,CoAP,normal,
ID5636,Smart Camera,2014-12-24,51,Poor,18.5,Daily,Bluetooth,47,High,Zigbee,compromised,MITM
ID1727,Smart Light,2010-05-31,11,Good,20.7,Daily,Zigbee,92,Low,MQTT,normal,
ID3295,Smart Light,2019-12-26,98,Excellent,12.7,Occasionally,Zigbee,4,Low,HTTP,normal,
ID1291,Smart Light,2023-09-20,42,Poor,28.0,Daily,Bluetooth,65,Low,CoAP,compromised,DDoS
ID9698,Smart Lock,2010-05-01,54,Good,20.8,Weekly,Zigbee,3,Low,Zigbee,normal,
ID2223,Smart Lock,2015-05-05,62,Poor,17.7,Daily,Zigbee,38,Low,Zigbee,compromised,DDoS
ID9131,Smart Thermostat,2011-09-04,106,Good,15.7,Daily,WiFi,8,High,Zigbee,normal,
ID8706,Smart Light,2022-12-01,85,Good,22.1,Occasionally,Bluetooth,85,Low,CoAP,normal,
ID6705,Smart Lock,2019-12-29,93,Poor,35.6,Weekly,Zigbee,2,Low,MQTT,normal,
ID7389,Smart Plug,2025-01-04,32,Good,16.1,Occasionally,Zigbee,80,Low,HTTP,normal,
ID8765,Smart Lock,2017-03-01,10,Poor,19.9,Daily,Zigbee,86,Low,Zigbee,compromised,Replay
ID1337,Smart Light,2012-06-19,61,Poor,20.5,Weekly,Bluetooth,70,Low,HTTP,compromised,MITM
ID6713,Smart Thermostat,2012-07-24,170,Poor,35.0,Occasionally,WiFi,61,High,CoAP,compromised,DDoS
ID8423,Smart Plug,2024-01-07,27,Excellent,11.4,Daily,Zigbee,70,Low,HTTP,normal,
ID3386,Smart Thermostat,2024-01-26,62,Poor,11.9,Weekly,Bluetooth,1,High,Zigbee,compromised,Jamming
ID4735,Smart Lock,2015-06-19,49,Poor,37.4,Occasionally,Zigbee,93,Low,CoAP,compromised,Jamming
ID6360,Smart Lock,2013-12-22,88,Good,35.4,Weekly,Zigbee,58,Low,MQTT,normal,
ID4116,Smart Thermostat,2022-09-11,52,Poor,28.4,Occasionally,Zigbee,29,High,MQTT,compromised,MITM
ID6892,Smart Camera,2022-05-17,22,Poor,11.4,Weekly,Bluetooth,99,High,CoAP,compromised,DDoS
ID8437,Smart Plug,2013-07-23,86,Excellent,12.2,Daily,WiFi,64,Low,HTTP,normal,
ID2112,Smart Lock,2019-02-10,67,Poor,31.1,Daily,Zigbee,54,Low,Zigbee,compromised,DDoS
ID8539,Smart Camera,2011-12-21,16,Excellent,25.6,Occasionally,Bluetooth,90,High,CoAP,normal,
ID8472,Smart Lock,2019-01-03,38,Poor,28.2,Occasionally,Zigbee,11,Low,MQTT,compromised,MITM
ID7192,Smart Camera,2011-01-09,38,Poor,24.8,Daily,WiFi,62,High,MQTT,compromised,Jamming
ID4524,Smart Lock,2014-07-16,48,Excellent,14.1,Occasionally,Zigbee,50,Low,Zigbee,normal,
ID3374,Smart Thermostat,2020-08-09,100,Poor,25.7,Occasionally,WiFi,75,High,Zigbee,compromised,Jamming
ID6939,Smart Thermostat,2018-01-05,128,Poor,18.1,Occasionally,WiFi,72,High,Zigbee,compromised,Jamming
ID8202,Smart Plug,2020-01-03,14,Poor,25.9,Weekly,WiFi,62,Low,Zigbee,compromised,DDoS
ID2800,Smart Camera,2020-01-12,84,Poor,28.8,Weekly,WiFi,81,High,HTTP,compromised,Jamming
ID9475,Smart Lock,2019-07-07,19,Excellent,39.5,Daily,Zigbee,19,Low,CoAP,normal,
ID5872,Smart Thermostat,2012-12-26,136,Poor,9.9,Daily,Bluetooth,19,High,CoAP,compromised,DDoS
